id,document,canton,year,n,form,frpos,frlemma,lang,list
w_FR_FR_2002_137544,FR_FR,FR,2002,137544,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_137958,FR_FR,FR,2002,137958,aussi,ADV,aussi,FR,lemmesTempsFR
w_FR_FR_2002_137960,FR_FR,FR,2002,137960,Transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_138196,FR_FR,FR,2002,138196,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_FR_2002_138198,FR_FR,FR,2002,138198,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_138224,FR_FR,FR,2002,138224,mixte,ADJ,mixte,FR,lemmesTempsFR
w_FR_FR_2002_138226,FR_FR,FR,2002,138226,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_138516,FR_FR,FR,2002,138516,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_FR_2002_138518,FR_FR,FR,2002,138518,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_138659,FR_FR,FR,2002,138659,",",PUN,",",FR,lemmesTempsFR
w_FR_FR_2002_138661,FR_FR,FR,2002,138661,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_139184,FR_FR,FR,2002,139184,global,ADJ,global,FR,lemmesTempsFR
w_FR_FR_2002_139186,FR_FR,FR,2002,139186,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_169299,FR_FR,FR,2002,169299,Entreprises,NOM,entreprise,FR,lemmesTempsFR
w_FR_FR_2002_169301,FR_FR,FR,2002,169301,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_174704,FR_FR,FR,2002,174704,Entreprises,NOM,entreprise,FR,lemmesTempsFR
w_FR_FR_2002_174706,FR_FR,FR,2002,174706,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_179927,FR_FR,FR,2002,179927,Entreprises,NOM,entreprise,FR,lemmesTempsFR
w_FR_FR_2002_179929,FR_FR,FR,2002,179929,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_194725,FR_FR,FR,2002,194725,ou,KON,ou,FR,lemmesTempsFR
w_FR_FR_2002_194727,FR_FR,FR,2002,194727,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_194736,FR_FR,FR,2002,194736,par,PRP,par,FR,lemmesTempsFR
w_FR_FR_2002_194738,FR_FR,FR,2002,194738,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_194766,FR_FR,FR,2002,194766,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_194768,FR_FR,FR,2002,194768,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_195308,FR_FR,FR,2002,195308,par,PRP,par,FR,lemmesTempsFR
w_FR_FR_2002_195310,FR_FR,FR,2002,195310,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_207248,FR_FR,FR,2002,207248,Entreprises,NOM,entreprise,FR,lemmesTempsFR
w_FR_FR_2002_207250,FR_FR,FR,2002,207250,transport,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_2331,FR_VD,VD,2022,2331,Infrastructures,NOM,infrastructure,FR,lemmesTempsFR
w_FR_VD_2022_2333,FR_VD,VD,2022,2333,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_14692,FR_VD,VD,2022,14692,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_VD_2022_14694,FR_VD,VD,2022,14694,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15199,FR_VD,VD,2022,15199,par,PRP,par,FR,lemmesTempsFR
w_FR_VD_2022_15201,FR_VD,VD,2022,15201,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15312,FR_VD,VD,2022,15312,accessibilité,NOM,accessibilité,FR,lemmesTempsFR
w_FR_VD_2022_15314,FR_VD,VD,2022,15314,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15336,FR_VD,VD,2022,15336,avantageusement,ADV,avantageusement,FR,lemmesTempsFR
w_FR_VD_2022_15338,FR_VD,VD,2022,15338,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15352,FR_VD,VD,2022,15352,fois,NOM,fois,FR,lemmesTempsFR
w_FR_VD_2022_15354,FR_VD,VD,2022,15354,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15752,FR_VD,VD,2022,15752,performant,ADJ,performant,FR,lemmesTempsFR
w_FR_VD_2022_15754,FR_VD,VD,2022,15754,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15791,FR_VD,VD,2022,15791,part,NOM,part,FR,lemmesTempsFR
w_FR_VD_2022_15793,FR_VD,VD,2022,15793,transports,NOM,transport,FR,lemmesTempsFR
