id,document,canton,year,n,form,depos,delemma,lang,list
w_DE_BE_2002_13639,DE_BE,BE,2002,13639,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_14409,DE_BE,BE,2002,14409,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_14622,DE_BE,BE,2002,14622,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_20013,DE_BE,BE,2002,20013,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_20042,DE_BE,BE,2002,20042,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_28305,DE_BE,BE,2002,28305,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_41636,DE_BE,BE,2002,41636,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_42333,DE_BE,BE,2002,42333,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_42707,DE_BE,BE,2002,42707,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_43609,DE_BE,BE,2002,43609,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_44249,DE_BE,BE,2002,44249,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_44260,DE_BE,BE,2002,44260,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_45243,DE_BE,BE,2002,45243,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_49662,DE_BE,BE,2002,49662,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_49672,DE_BE,BE,2002,49672,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_49813,DE_BE,BE,2002,49813,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_49852,DE_BE,BE,2002,49852,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_51229,DE_BE,BE,2002,51229,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_53666,DE_BE,BE,2002,53666,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_64337,DE_BE,BE,2002,64337,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2004_1447,DE_SZ,SZ,2004,1447,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2004_2855,DE_SZ,SZ,2004,2855,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_4781,DE_AR,AR,2002,4781,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_10549,DE_AR,AR,2002,10549,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_10597,DE_AR,AR,2002,10597,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_10600,DE_AR,AR,2002,10600,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_10617,DE_AR,AR,2002,10617,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_10632,DE_AR,AR,2002,10632,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_10718,DE_AR,AR,2002,10718,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_10951,DE_AR,AR,2002,10951,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_14128,DE_AR,AR,2002,14128,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_2002_28199,DE_AR,AR,2002,28199,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2010_6755,DE_BS,BS,2010,6755,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2010_27285,DE_BS,BS,2010,27285,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2010_28108,DE_BS,BS,2010,28108,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2010_51173,DE_BS,BS,2010,51173,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2010_8288,DE_SZ,SZ,2010,8288,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2010_8338,DE_SZ,SZ,2010,8338,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2010_8353,DE_SZ,SZ,2010,8353,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_2978,DE_OW,OW,1987,2978,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_9079,DE_OW,OW,1987,9079,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_19786,DE_OW,OW,1987,19786,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_29226,DE_OW,OW,1987,29226,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_29819,DE_OW,OW,1987,29819,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_30164,DE_OW,OW,1987,30164,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_33053,DE_OW,OW,1987,33053,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_35092,DE_OW,OW,1987,35092,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_35421,DE_OW,OW,1987,35421,Kosten,NN,Kosten,DE,lemmesTempsDE
